Gene id	PTTSmmMPDMSO1	PTTSmmMPGL1
Bloc1s4	4.936872	6.239576
Bloc1s5	5.204603	6.927503
Bloc1s6	4.971098	6.000902
Blvra	14.383418	18.331980
Blvrb	26.617543	31.560681
Blzf1	1.460988	1.937132
Bmf	2.059867	2.559555
Bmi1	5.997646	8.539795
Bmp1	0.475111	0.707994
Bmp10	0.024219	0.087385
Bmp15	0.009949	0.022437
Bmp2	0.272180	0.173790
Bmp2k	7.850828	9.505223
Bmp3	0.017262	0.039526
Bmp4	0.050249	0.092712
Bmp5	0.036905	0.062418
Bmp6	0.077264	0.133580
Bmp7	0.020272	0.065144
Bmp8a	0.017245	0.023333
Bmp8b	0.143496	0.232225
Bmper	0.052173	0.096004
Bmpr1a	0.679318	1.020517
Bmpr1b	0.014792	0.068936
Bmpr2	6.456295	8.687527
Bms1	5.478376	6.713692
Bmx	0.082912	0.161544
Bmyc	0.513828	0.548863
Bnc1	0.302189	0.516930
Bnc2	0.111880	0.145510
Bnip1	1.005510	1.179743
Bnip2	10.108228	13.113781
Bnip3	3.589358	4.953805
Bnip3l	61.211260	81.188502
Bnipl	0.097022	0.208844
Boc	0.075617	0.105321
Bod1	3.648614	4.764088
Bod1l	6.324198	7.749586
Bok	0.041729	0.134095
Bola1	1.963362	2.275051
Bola2	10.763978	11.935773
Bola3	2.772022	2.868868
Boll	0.059273	0.091656
Bop1	8.015368	9.548936
Bora	0.538948	0.739003
Bpgm	1.510279	1.744322
Bphl	4.166072	4.565474
Bpi	0.064389	0.040209
Bpifa1	0.052779	0.053558
Bpifa2	0.030678	0.055344
Bpifa3	0.070064	0.115866
Bpifa5	0.030206	0.108984
Bpifa6	0.053865	0.081991
Bpifb1	0.022079	0.044810
Bpifb2	0.039987	0.040578
Bpifb3	0.028112	0.083681
Bpifb4	0.047608	0.064416
Bpifb5	0.045508	0.114353
Bpifb6	0.037684	0.076483
Bpifb9a	0.094263	0.109321
Bpifb9b	0.182074	0.184764
Bpifc	0.081671	0.121554
Bpnt1	4.080664	4.218047
Bptf	3.996120	4.443489
Braf	5.894482	8.007090
Brap	6.304950	7.547497
Brat1	2.433143	2.677172
Brca1	0.273726	0.400969
Brca2	0.228801	0.317456
Brcc3	1.326190	2.015155
Brd1	3.302424	4.234924
Brd2	12.234130	13.450031
Brd3	2.181658	2.355150
Brd4	3.047733	2.863373
Brd7	8.383253	10.260804
Brd8	2.503564	3.085739
Brd9	7.339216	8.416460
Brdt	0.108930	0.144844
Bre	3.884090	4.746887
Brf1	6.156086	7.268438
Brf2	2.780662	2.723013
Bri3	14.666081	11.287445
Bri3bp	2.453505	2.456712
Brinp1	0.023766	0.042874
Brinp2	0.019007	0.043872
Brinp3	0.009980	0.063014
Brip1	0.191202	0.282221
Brix1	2.957540	3.827873
Brk1	52.138180	62.803343
Brms1	12.035073	13.064202
Brms1l	2.544357	2.998046
Brox	13.034515	18.133605
Brpf1	5.779631	7.037288
Brpf3	1.480013	1.715177
Brs3	0.007356	0.019906
Brsk1	0.267791	0.371167
Brsk2	0.159078	0.198246
Brwd1	3.407262	4.580850
Brwd3	1.702098	2.614497
Bscl2	5.760403	7.302079
Bsdc1	1.742454	1.790073
Bsg	32.695552	37.795986
Bsn	0.542188	0.448670
Bsnd	0.018828	0.050949
Bsph1	0.027421	0.092755
Bsph2	0.000000	0.127962
Bspry	0.137129	0.190997
Bst1	6.385362	7.241215
Bst2	23.419682	26.807941
Bsx	0.051330	0.069451
Btaf1	4.935636	6.686094
Btbd1	16.414680	20.517339
Btbd10	2.447075	3.415366
Btbd11	0.038036	0.073298
Btbd16	0.023806	0.100655
Btbd17	0.521481	0.390183
Btbd18	0.041736	0.084705
Btbd19	0.374384	0.515520
Btbd2	1.740859	1.976363
Btbd3	1.144632	1.602502
Btbd6	3.395660	3.138646
Btbd7	6.439905	9.086661
Btbd8	0.468863	0.650247
Btbd9	4.675602	5.445404
Btc	0.012785	0.049013
Btd	2.764797	3.671973
Btf3	45.027211	57.479757
Btf3l4	2.314998	3.039387
Btg1	14.742358	19.781684
Btg2	7.671133	8.758514
Btg3	7.993690	10.341363
Btg4	0.032942	0.089144
Btk	10.686813	13.466152
Btla	0.207183	0.309183
Btn1a1	0.038507	0.100730
Btn2a2	0.036191	0.044887
Btnl1	0.049182	0.059891
Btnl10	0.024115	0.040786
Btnl2	0.057297	0.098197
Btnl4	0.048568	0.090357
Btnl6	0.042072	0.094875
Btnl9	0.037088	0.042461
Btrc	0.780708	0.947261
Bub1	0.154549	0.206463
Bub1b	1.118039	0.757985
Bub3	13.106029	15.483621
Bud13	2.302801	2.647055
Bud31	10.280994	13.002406
Bves	0.039531	0.026743
Bvht	0.538028	0.572830
Bysl	1.420966	1.731501
Bzrap1	0.157100	0.162079
Bzw1	35.861792	45.644505
Bzw2	3.523263	5.656651
C030005K06Rik	0.918872	1.101628
C030005K15Rik	0.016517	0.052147
C030006K11Rik	1.872992	1.893272
C030007H22Rik	0.019994	0.216415
C030013C21Rik	0.067586	0.068584
C030013D06Rik	0.939908	1.493775
C030014I23Rik	0.057619	0.097450
C030034I22Rik	0.168978	0.337506
C030034L19Rik	0.213999	0.236532
C030037D09Rik	0.106691	0.167323
C030037F17Rik	0.032292	0.131077
C030039L03Rik	0.285239	0.429971
C030046E11Rik	6.194431	8.345673
C030048H21Rik	0.070246	0.190089
C130026I21Rik	0.780883	1.192405
C130026L21Rik	0.013524	0.020586
C130032M10Rik	0.016695	0.090357
C130046K22Rik	0.231090	0.332976
C130050O18Rik	0.282691	0.418726
C130060C02Rik	0.119281	0.112974
C130060K24Rik	0.026855	0.060558
C130071C03Rik	0.011914	0.051582
C130073F10Rik	0.060598	0.000000
C130074G19Rik	0.021403	0.038612
C130079G13Rik	0.015387	0.052047
C1d	2.983463	4.384475
C1galt1	11.994225	15.449627
C1galt1c1	12.454272	16.257917
C1qa	4.164099	4.749577
C1qb	22.981198	39.903029
C1qbp	5.207699	7.303461
C1qc	5.962935	8.854990
C1ql1	0.017192	0.058154
C1ql2	0.020722	0.021028
C1ql3	0.063334	0.122419
C1ql4	0.079941	0.064898
C1qtnf1	0.187344	0.329527
C1qtnf2	0.023208	0.052334
C1qtnf3	0.065677	0.125454
C1qtnf4	0.000000	0.000000
C1qtnf5	0.000000	0.274810
C1qtnf6	0.504328	0.454916
C1qtnf7	0.051831	0.084155
C1qtnf9	0.031688	0.051449
C1ra	0.524909	0.600956
C1rb	0.040357	0.068255
C1rl	0.197521	0.261908
C1s1	1.604604	2.739927
C1s2	0.071754	0.151696
C2	0.345634	0.451529
C230004F18Rik	0.016589	0.032421
C230014O12Rik	0.026849	0.068115
C230021G24Rik	0.014377	0.015562
C230024C17Rik	0.027286	0.036919
C230029F24Rik	0.082494	0.279044
C230035I16Rik	0.831933	1.801015
C230037L18Rik	0.538131	0.653092
C230038L03Rik	0.024568	0.056986
C230052I12Rik	1.375504	1.889410
C230057A21Rik	0.014170	0.053682
C230062I16Rik	0.165075	0.202413
C230088H06Rik	0.300515	0.474374
C2cd2	2.276473	3.065666
C2cd2l	10.120594	10.866912
C2cd3	1.395389	1.710128
C2cd4a	0.007885	0.021337
C2cd4b	0.014064	0.038059
C2cd4c	0.055281	0.035430
C2cd4d	0.016582	0.067310
C2cd5	2.852368	3.190780
C3	12.976180	17.798011
C330002G04Rik	0.044943	0.056466
C330006A16Rik	4.195837	4.757028
C330007P06Rik	3.016046	3.644329
C330011M18Rik	0.370870	0.547418
C330013E15Rik	0.604887	0.733180
C330013J21Rik	0.654454	0.603749
C330018D20Rik	0.909940	1.179081
C330019F10Rik	0.056257	0.076117
C330021F23Rik	0.028263	0.140218
C330022C24Rik	0.069412	0.053667
C330027C09Rik	0.564669	0.798226
C3ar1	81.218399	120.981638
C430002N11Rik	1.060610	1.017879
C430039J16Rik	0.042132	0.071258
C430042M11Rik	0.126630	0.195811
C4a	0.128752	0.134004
C4b	1.226240	1.553507
C4bp	0.029543	0.063485
C530008M17Rik	0.045850	0.058772
C530025M09Rik	0.000000	0.134848
C530043A13Rik	0.032146	0.033457
C530050E15Rik	0.059265	0.080187
C5ar1	13.707695	32.141996
C5ar2	1.179506	2.754111
C6	0.014934	0.080826
C630028M04Rik	0.026912	0.084963
C7	0.034226	0.070825
C730034F03Rik	0.429093	0.453134
